doc_id,title,source_url,file_path,doc_type,date_accessed
AA_CANCELLATION_POLICY,Cancellation Policy,https://www.aa.com/i18n/customer-service/faqs/reservations-tickets-faqs.jsp,https://drive.google.com/file/d/1u_bJl8OxuqI4naAvrp9yZdpQtaVn7iRj/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_REFUND_ELIGIBILITY,Refund Eligibility,https://www.aa.com/i18n/customer-service/faqs/customer-service-faqs.jsp,https://drive.google.com/file/d/1hY_G721H7Rd4q6bFa-pdnvKP23fmg2x-/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_24_HOUR_RULE,24-Hour Refund Rule,https://www.aa.com/i18n/customer-service/faqs/reservations-tickets-faqs.jsp,https://drive.google.com/file/d/13Pr5t8wmXJ4rmZNQsMKoOxV-u_uOQwi1/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_NON_REFUNDABLE,Non-refundable Tickets,https://www.aa.com/i18n/customer-service/faqs/customer-service-faqs.jsp,https://drive.google.com/file/d/14b8D2e-9bxWJ_xuiIyVNiwn1KhgB2pSt/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_TRAVEL_CREDIT,Travel Credit / eCredit,https://www.aa.com/i18n/customer-service/payment-options/travel-credit.jsp,https://drive.google.com/file/d/1-wmLhNSYwSFLcwgby6dJzh3FPpuhOG5O/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_FLIGHT_DELAYS,Flight Delays & Schedule Changes,https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp,https://drive.google.com/file/d/1H1kRVtrJX3_Q8sBd94K5q8EdiIJCMKum/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_FORCE_MAJEURE,Force Majeure & Airline Responsibility,https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp,https://drive.google.com/file/d/1NieOL_0dxsHkyFhExImnDp_6ez0PcdfT/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_NO_SHOW,No-show Policy,https://www.aa.com/i18n/customer-service/faqs/travel-information-faqs.jsp,https://drive.google.com/file/d/1AvtlMAeQuwGsqYwLffbt5Ma3bOFg_Vag/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_CHANGE_FEES,Change Fees & Fare Differences,https://www.aa.com/i18n/customer-service/support/flying-with-american.jsp,https://drive.google.com/file/d/1_6kmkpfKp1u4-9XJKrJprxGo29Oq7MPo/view?usp=drive_link,official_html,"Jan 11, 2026"
AA_FAQ_SUMMARY,FAQ Summary Index,https://www.aa.com/i18n/customer-service/faqs/faqs.jsp,https://drive.google.com/file/d/171S-YapOPbx-k3G4cPWL0qM0UJYnXUHb/view?usp=drive_link,official_html,"Jan 11, 2026"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,r
